ticker,selection_count,selection_frequency,portfolio_slot_share
NVDA,32,0.5333333333333333,0.05333333333333334
NFLX,31,0.5166666666666667,0.051666666666666666
UBER,21,0.35,0.035
GE,19,0.31666666666666665,0.03166666666666667
AVGO,19,0.31666666666666665,0.03166666666666667
AMD,17,0.2833333333333333,0.028333333333333332
FCX,17,0.2833333333333333,0.028333333333333332
GM,17,0.2833333333333333,0.028333333333333332
OXY,17,0.2833333333333333,0.028333333333333332
F,17,0.2833333333333333,0.028333333333333332
ANET,17,0.2833333333333333,0.028333333333333332
MU,16,0.26666666666666666,0.02666666666666667
LRCX,15,0.25,0.025
HAL,13,0.21666666666666667,0.021666666666666667
AMAT,12,0.2,0.02
BKNG,12,0.2,0.02
COF,11,0.18333333333333332,0.018333333333333333
MCD,11,0.18333333333333332,0.018333333333333333
COP,10,0.16666666666666666,0.016666666666666666
KLAC,10,0.16666666666666666,0.016666666666666666
SLB,10,0.16666666666666666,0.016666666666666666
CMG,10,0.16666666666666666,0.016666666666666666
TSLA,9,0.15,0.015
LEN,9,0.15,0.015
QCOM,8,0.13333333333333333,0.013333333333333334
PANW,8,0.13333333333333333,0.013333333333333334
OKE,8,0.13333333333333333,0.013333333333333334
SPG,8,0.13333333333333333,0.013333333333333334
NEM,8,0.13333333333333333,0.013333333333333334
ORCL,8,0.13333333333333333,0.013333333333333334
SCHW,7,0.11666666666666667,0.011666666666666667
DLTR,7,0.11666666666666667,0.011666666666666667
DOW,7,0.11666666666666667,0.011666666666666667
NOW,6,0.1,0.01
URI,6,0.1,0.01
HPQ,6,0.1,0.01
EOG,6,0.1,0.01
BRK-B,6,0.1,0.01
META,6,0.1,0.01
VLO,6,0.1,0.01
ODFL,5,0.08333333333333333,0.008333333333333333
FIS,5,0.08333333333333333,0.008333333333333333
MMM,5,0.08333333333333333,0.008333333333333333
APH,5,0.08333333333333333,0.008333333333333333
GLW,5,0.08333333333333333,0.008333333333333333
CDNS,4,0.06666666666666667,0.006666666666666667
WFC,4,0.06666666666666667,0.006666666666666667
DLR,4,0.06666666666666667,0.006666666666666667
FDX,3,0.05,0.005
MS,3,0.05,0.005
DE,3,0.05,0.005
ROST,3,0.05,0.005
USB,3,0.05,0.005
ETN,3,0.05,0.005
TT,3,0.05,0.005
KMI,3,0.05,0.005
GPN,3,0.05,0.005
ECL,2,0.03333333333333333,0.0033333333333333335
MCK,2,0.03333333333333333,0.0033333333333333335
NKE,2,0.03333333333333333,0.0033333333333333335
WELL,2,0.03333333333333333,0.0033333333333333335
XOM,2,0.03333333333333333,0.0033333333333333335
D,2,0.03333333333333333,0.0033333333333333335
BIIB,2,0.03333333333333333,0.0033333333333333335
TFC,2,0.03333333333333333,0.0033333333333333335
PNC,2,0.03333333333333333,0.0033333333333333335
BAC,2,0.03333333333333333,0.0033333333333333335
MET,2,0.03333333333333333,0.0033333333333333335
ADBE,2,0.03333333333333333,0.0033333333333333335
WMT,2,0.03333333333333333,0.0033333333333333335
BDX,2,0.03333333333333333,0.0033333333333333335
UPS,2,0.03333333333333333,0.0033333333333333335
IR,2,0.03333333333333333,0.0033333333333333335
AIG,1,0.016666666666666666,0.0016666666666666668
PFE,1,0.016666666666666666,0.0016666666666666668
INTU,1,0.016666666666666666,0.0016666666666666668
SBUX,1,0.016666666666666666,0.0016666666666666668
GOOGL,1,0.016666666666666666,0.0016666666666666668
GOOG,1,0.016666666666666666,0.0016666666666666668
CRM,1,0.016666666666666666,0.0016666666666666668
NEE,1,0.016666666666666666,0.0016666666666666668
PRU,1,0.016666666666666666,0.0016666666666666668
PCAR,1,0.016666666666666666,0.0016666666666666668
LLY,1,0.016666666666666666,0.0016666666666666668
ALL,1,0.016666666666666666,0.0016666666666666668
NXPI,1,0.016666666666666666,0.0016666666666666668
DD,1,0.016666666666666666,0.0016666666666666668
GEHC,1,0.016666666666666666,0.0016666666666666668
PM,1,0.016666666666666666,0.0016666666666666668
PAYX,1,0.016666666666666666,0.0016666666666666668
C,1,0.016666666666666666,0.0016666666666666668
KDP,1,0.016666666666666666,0.0016666666666666668
EA,1,0.016666666666666666,0.0016666666666666668
TEL,1,0.016666666666666666,0.0016666666666666668
